Year,Month,CPIU
1983,10,2.85
1983,11,3.27
1983,12,3.79
1984,1,4.19
1984,2,4.60
1984,3,4.80
1984,4,4.56
1984,5,4.23
1984,6,4.22
1984,7,4.20
1984,8,4.29
1984,9,4.27
1984,10,4.26
1984,11,4.05
1984,12,3.95
1985,1,3.53
1985,2,3.52
1985,3,3.70
1985,4,3.69
1985,5,3.77
1985,6,3.76
1985,7,3.55
1985,8,3.35
1985,9,3.14
1985,10,3.23
1985,11,3.51
1985,12,3.80
1986,1,3.89
1986,2,3.11
1986,3,2.26
1986,4,1.59
1986,5,1.49
1986,6,1.77
1986,7,1.58
1986,8,1.57
1986,9,1.75
1986,10,1.47
1986,11,1.28
1986,12,1.10
1987,1,1.46
1987,2,2.10
1987,3,3.03
1987,4,3.78
1987,5,3.86
1987,6,3.65
1987,7,3.93
1987,8,4.28
1987,9,4.36
1987,10,4.53
1987,11,4.53
1987,12,4.43
1988,1,4.05
1988,2,3.94
1988,3,3.93
1988,4,3.90
1988,5,3.89
1988,6,3.96
1988,7,4.13
1988,8,4.02
1988,9,4.17
1988,10,4.25
1988,11,4.25
1988,12,4.42
1989,1,4.67
1989,2,4.83
1989,3,4.98
1989,4,5.12
1989,5,5.36
1989,6,5.17
1989,7,4.98
1989,8,4.71
1989,9,4.34
1989,10,4.49
1989,11,4.66
1989,12,4.65
1990,1,5.20
1990,2,5.26
1990,3,5.23
1990,4,4.71
1990,5,4.36
1990,6,4.67
1990,7,4.82
1990,8,5.62
1990,9,6.16
1990,10,6.29
1990,11,6.27
1990,12,6.11
1991,1,5.65
1991,2,5.31
1991,3,4.90
1991,4,4.89
1991,5,4.95
1991,6,4.70
1991,7,4.45
1991,8,3.80
1991,9,3.39
1991,10,2.92
1991,11,2.99
1991,12,3.06
1992,1,2.60
1992,2,2.82
1992,3,3.19
1992,4,3.18
1992,5,3.02
1992,6,3.09
1992,7,3.16
1992,8,3.15
1992,9,2.99
1992,10,3.20
1992,11,3.05
1992,12,2.90
1993,1,3.26
1993,2,3.25
1993,3,3.09
1993,4,3.23
1993,5,3.22
1993,6,3.00
1993,7,2.78
1993,8,2.77
1993,9,2.69
1993,10,2.75
1993,11,2.68
1993,12,2.75
1994,1,2.52
1994,2,2.52
1994,3,2.51
1994,4,2.36
1994,5,2.29
1994,6,2.49
1994,7,2.77
1994,8,2.90
1994,9,2.96
1994,10,2.61
1994,11,2.67
1994,12,2.67
1995,1,2.80
1995,2,2.86
1995,3,2.85
1995,4,3.05
1995,5,3.19
1995,6,3.04
1995,7,2.76
1995,8,2.62
1995,9,2.54
1995,10,2.81
1995,11,2.61
1995,12,2.54
1996,1,2.73
1996,2,2.65
1996,3,2.84
1996,4,2.90
1996,5,2.89
1996,6,2.75
1996,7,2.95
1996,8,2.88
1996,9,3.00
1996,10,2.99
1996,11,3.26
1996,12,3.32
1997,1,3.04
1997,2,3.03
1997,3,2.76
1997,4,2.50
1997,5,2.23
1997,6,2.30
1997,7,2.23
1997,8,2.23
1997,9,2.15
1997,10,2.08
1997,11,1.83
1997,12,1.70
1998,1,1.57
1998,2,1.44
1998,3,1.37
1998,4,1.44
1998,5,1.69
1998,6,1.68
1998,7,1.68
1998,8,1.62
1998,9,1.49
1998,10,1.49
1998,11,1.55
1998,12,1.61
1999,1,1.67
1999,2,1.61
1999,3,1.73
1999,4,2.28
1999,5,2.09
1999,6,1.96
1999,7,2.14
1999,8,2.26
1999,9,2.63
1999,10,2.56
1999,11,2.62
1999,12,2.68
2000,1,2.74
2000,2,3.22
2000,3,3.76
2000,4,3.07
2000,5,3.19
2000,6,3.73
2000,7,3.66
2000,8,3.41
2000,9,3.45
2000,10,3.45
2000,11,3.45
2000,12,3.39
2001,1,3.73
2001,2,3.53
2001,3,2.92
2001,4,3.27
2001,5,3.62
2001,6,3.25
2001,7,2.72
2001,8,2.72
2001,9,2.65
2001,10,2.13
2001,11,1.90
2001,12,1.55
2002,1,1.14
2002,2,1.14
2002,3,1.48
2002,4,1.64
2002,5,1.18
2002,6,1.07
2002,7,1.46
2002,8,1.80
2002,9,1.51
2002,10,2.03
2002,11,2.20
2002,12,2.38
2003,1,2.60
2003,2,2.98
2003,3,3.02
2003,4,2.22
2003,5,2.06
2003,6,2.11
2003,7,2.11
2003,8,2.16
2003,9,2.32
2003,10,2.04
2003,11,1.77
2003,12,1.88
2004,1,1.93
2004,2,1.69
2004,3,1.74
2004,4,2.29
2004,5,3.05
2004,6,3.27
2004,7,2.99
2004,8,2.65
2004,9,2.54
2004,10,3.19
2004,11,3.52
2004,12,3.26
2005,1,2.97
2005,2,3.01
2005,3,3.15
2005,4,3.51
2005,5,2.80
2005,6,2.53
2005,7,3.17
2005,8,3.64
2005,9,4.69
2005,10,4.35
2005,11,3.46
2005,12,3.42
2006,1,3.99
2006,2,3.60
2006,3,3.36
2006,4,3.55
2006,5,4.17
2006,6,4.32
2006,7,4.15
2006,8,3.82
2006,9,2.06
2006,10,1.31
2006,11,1.97
2006,12,2.54
2007,1,2.08
2007,2,2.42
2007,3,2.78
2007,4,2.57
2007,5,2.69
2007,6,2.69
2007,7,2.36
2007,8,1.97
2007,9,2.76
2007,10,3.54
2007,11,4.31
2007,12,4.08
2008,1,4.28
2008,2,4.03
2008,3,3.98
2008,4,3.94
2008,5,4.18
2008,6,5.02
2008,7,5.60
2008,8,5.37
2008,9,4.94
2008,10,3.66
2008,11,1.07
2008,12,0.09
2009,1,0.03
2009,2,0.24
2009,3,-0.38
2009,4,-0.74
2009,5,-1.28
2009,6,-1.43
2009,7,-2.10
2009,8,-1.48
2009,9,-1.29
2009,10,-0.18
2009,11,1.84
2009,12,2.72
2010,1,2.63
2010,2,2.14
2010,3,2.31
2010,4,2.24
2010,5,2.02
2010,6,1.05
2010,7,1.24
2010,8,1.15
2010,9,1.14
2010,10,1.17
2010,11,1.14
2010,12,1.50
2011,1,1.63
2011,2,2.11
2011,3,2.68
2011,4,3.16
2011,5,3.57
2011,6,3.56
2011,7,3.63
2011,8,3.77
2011,9,3.87
2011,10,3.53
2011,11,3.39
2011,12,2.96
2012,1,2.93
2012,2,2.87
2012,3,2.65
2012,4,2.30
2012,5,1.70
2012,6,1.66
2012,7,1.41
2012,8,1.69
2012,9,1.99
2012,10,2.16
2012,11,1.76
2012,12,1.74
2013,1,1.59
2013,2,1.98
2013,3,1.47
2013,4,1.06
2013,5,1.36
2013,6,1.75
2013,7,1.96
2013,8,1.52
2013,9,1.18
2013,10,0.96
2013,11,1.24
2013,12,1.50
2014,1,1.58
2014,2,1.13
2014,3,1.51
2014,4,1.95
2014,5,2.13
2014,6,2.07
2014,7,1.99
2014,8,1.70
2014,9,1.66
2014,10,1.66
2014,11,1.32
2014,12,0.76
2015,1,-0.09
2015,2,-0.03
2015,3,-0.07
2015,4,-0.20
2015,5,-0.04
2015,6,0.12
2015,7,0.17
